"attributes.Geography","attributes.TotalPop4_18","attributes.Exempt"
Census Tract 823.01, Volusia County, Florida, 679,54
Census Tract 815, Volusia County, Florida, 227,23
Census Tract 816, Volusia County, Florida, 423,16
Census Tract 818, Volusia County, Florida, 600,32
Census Tract 819, Volusia County, Florida, 508,26
Census Tract 820, Volusia County, Florida, 466,12
Census Tract 821, Volusia County, Florida,1187,56
Census Tract 822.01, Volusia County, Florida, 318,30
Census Tract 822.02, Volusia County, Florida, 147,16
Census Tract 902.02, Volusia County, Florida, 996,70
Census Tract 907.01, Volusia County, Florida, 850,57
Census Tract 904, Volusia County, Florida, 841,36
Census Tract 905, Volusia County, Florida, 261,16
Census Tract 906, Volusia County, Florida,1372,32
Census Tract 910.13, Volusia County, Florida,1613,78
Census Tract 910.05, Volusia County, Florida, 349,29
Census Tract 830.05, Volusia County, Florida, 481,24
Census Tract 830.03, Volusia County, Florida, 598,32
Census Tract 827.04, Volusia County, Florida, 181,10
Census Tract 804, Volusia County, Florida, 469,46
Census Tract 805, Volusia County, Florida, 307,23
Census Tract 812, Volusia County, Florida, 278,31
Census Tract 813, Volusia County, Florida, 144,25
Census Tract 803, Volusia County, Florida, 365,38
Census Tract 801, Volusia County, Florida, 964,67
Census Tract 806, Volusia County, Florida, 516,27
Census Tract 807, Volusia County, Florida, 687,62
Census Tract 808.03, Volusia County, Florida, 839,51
Census Tract 808.04, Volusia County, Florida, 851,59
Census Tract 808.05, Volusia County, Florida, 850,45
Census Tract 810, Volusia County, Florida, 451,39
Census Tract 824.06, Volusia County, Florida, 424,22
Census Tract 825.06, Volusia County, Florida, 567,50
Census Tract 824.10, Volusia County, Florida, 805,79
Census Tract 825.07, Volusia County, Florida,1094,75
Census Tract 824.04, Volusia County, Florida, 387,31
Census Tract 825.03, Volusia County, Florida, 875,47
Census Tract 824.01, Volusia County, Florida, 511,21
Census Tract 824.05, Volusia County, Florida, 539,46
Census Tract 901.01, Volusia County, Florida, 967,37
Census Tract 901.02, Volusia County, Florida, 788,20
Census Tract 909.04, Volusia County, Florida, 967,85
Census Tract 925, Volusia County, Florida, 736,41
Census Tract 808.07, Volusia County, Florida, 703,49
Census Tract 910.18, Volusia County, Florida,1427,69
Census Tract 910.17, Volusia County, Florida, 738,24
Census Tract 908.03, Volusia County, Florida,1096,79
Census Tract 830.08, Volusia County, Florida, 418,22
Census Tract 908.05, Volusia County, Florida, 623,50
Census Tract 910.22, Volusia County, Florida,1648,89
Census Tract 802.02, Volusia County, Florida, 278,18
Census Tract 832.06, Volusia County, Florida, 329,13
Census Tract 824.13, Volusia County, Florida, 617,44
Census Tract 825.11, Volusia County, Florida, 344,34
Census Tract 830.07, Volusia County, Florida, 764,45
Census Tract 910.29, Volusia County, Florida, 819,70
Census Tract 910.21, Volusia County, Florida, 598,38
Census Tract 903.05, Volusia County, Florida, 709,41
Census Tract 832.03, Volusia County, Florida,1436,119
Census Tract 907.02, Volusia County, Florida, 882,26
Census Tract 908.06, Volusia County, Florida, 748,29
Census Tract 827.05, Volusia County, Florida, 166,26
Census Tract 809.01, Volusia County, Florida, 608,49
Census Tract 809.02, Volusia County, Florida, 700,36
Census Tract 811.02, Volusia County, Florida, 226,27
Census Tract 825.10, Volusia County, Florida, 457,31
Census Tract 825.08, Volusia County, Florida, 886,63
Census Tract 826.05, Volusia County, Florida, 196,19
Census Tract 826.04, Volusia County, Florida, 256,15
Census Tract 826.07, Volusia County, Florida, 190,15
Census Tract 828.02, Volusia County, Florida, 455,29
Census Tract 829.03, Volusia County, Florida, 726,59
Census Tract 830.09, Volusia County, Florida, 614,31
Census Tract 808.06, Volusia County, Florida, 457,27
Census Tract 811.01, Volusia County, Florida, 233,18
Census Tract 824.12, Volusia County, Florida, 240,23
Census Tract 824.11, Volusia County, Florida, 236,19
Census Tract 824.14, Volusia County, Florida, 193,28
Census Tract 825.09, Volusia County, Florida, 801,54
Census Tract 827.03, Volusia County, Florida, 220,15
Census Tract 828.01, Volusia County, Florida, 345,29
Census Tract 829.04, Volusia County, Florida, 421,45
Census Tract 902.03, Volusia County, Florida, 817,32
Census Tract 902.04, Volusia County, Florida,1231,79
Census Tract 903.07, Volusia County, Florida,1022,55
Census Tract 909.02, Volusia County, Florida,1804,126
Census Tract 910.28, Volusia County, Florida, 887,45
Census Tract 910.24, Volusia County, Florida,1679,61
Census Tract 830.06, Volusia County, Florida,1231,85
Census Tract 903.06, Volusia County, Florida, 739,65
Census Tract 908.04, Volusia County, Florida,1278,70
Census Tract 910.25, Volusia County, Florida,1102,35
Census Tract 910.26, Volusia County, Florida,1566,68
Census Tract 910.23, Volusia County, Florida, 504,25
Census Tract 832.08, Volusia County, Florida,2148,134
Census Tract 832.07, Volusia County, Florida, 844,87
Census Tract 910.19, Volusia County, Florida,1215,69
Census Tract 910.20, Volusia County, Florida,1727,63
Census Tract 910.15, Volusia County, Florida, 755,32
Census Tract 910.16, Volusia County, Florida,1201,48
Census Tract 910.27, Volusia County, Florida,1360,66
Census Tract 832.09, Volusia County, Florida, 905,72
Census Tract 903.03, Volusia County, Florida, 449,21
Census Tract 903.04, Volusia County, Florida, 885,30
Census Tract 802.01, Volusia County, Florida, 195,17
Census Tract 829.02, Volusia County, Florida, 885,92
Census Tract 827.01, Volusia County, Florida, 173,13
Census Tract 910.01, Volusia County, Florida,1161,88
Census Tract 824.15, Volusia County, Florida, 249,18
Census Tract 832.05, Volusia County, Florida, 334,33
Census Tract 826.06, Volusia County, Florida, 224,22
Census Tract 909.03, Volusia County, Florida, 434,29
Census Tract 817, Volusia County, Florida,1245,65
