,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten
,Jim Wells,0.00%,0.00%,0.33%,0.17%,0.55%,0.66%,1.99%,0.76%,2.21%,3.68%,2.37%,,,,,,,
,Johnson,1.59%,1.61%,2.32%,2.61%,3.21%,3.87%,4.03%,4.44%,4.51%,5.43%,6.03%,,,,,,,
,Jones,0.00%,1.00%,0.47%,1.64%,0.00%,0.50%,0.98%,1.23%,3.19%,1.59%,3.23%,,,,,,,
,Karnes,0.59%,0.54%,0.00%,0.00%,0.55%,0.00%,1.01%,0.99%,1.18%,6.87%,0.00%,,,,,,,
,Kaufman,1.13%,1.19%,1.20%,1.85%,2.11%,2.22%,3.60%,2.37%,3.35%,3.28%,5.06%,,,,,,,
,Kendall,3.45%,3.32%,2.67%,3.25%,3.98%,5.71%,5.42%,4.61%,4.94%,7.67%,8.75%,,,,,,,
,Kenedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.14%,,,,,,,
,Kent,11.11%,0.00%,10.00%,0.00%,NR**,NR**,0.00%,10.00%,9.09%,0.00%,7.69%,,,,,,,
,Kerr,2.19%,2.32%,2.68%,1.93%,1.94%,5.37%,4.40%,3.37%,4.01%,6.43%,5.99%,,,,,,,
,Kimble,0.00%,0.00%,0.00%,0.00%,2.70%,4.17%,2.08%,5.88%,2.17%,0.00%,2.44%,,,,,,,
,King,0.00%,16.67%,0.00%,0.00%,14.29%,16.67%,11.11%,0.00%,13.33%,25.00%,0.00%,,,,,,,
,Kinney,0.00%,2.70%,0.00%,0.00%,0.00%,2.63%,0.00%,2.22%,6.38%,0.00%,2.56%,,,,,,,
,Kleberg,0.72%,0.00%,1.04%,0.00%,0.53%,1.03%,1.12%,0.93%,1.01%,1.66%,3.44%,,,,,,,
,Knox,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.38%,2.70%,,,,,,,
,La Salle,0.00%,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.39%,0.00%,,,,,,,
,Lamar,0.86%,0.56%,1.49%,1.38%,1.31%,2.47%,1.92%,2.03%,1.75%,3.45%,3.16%,,,,,,,
,Lamb,0.00%,0.00%,0.40%,0.00%,1.42%,0.00%,0.00%,2.16%,1.02%,2.47%,1.97%,,,,,,,
,Lampasas,8.96%,2.98%,2.24%,2.78%,3.66%,5.71%,4.31%,1.43%,4.78%,8.27%,5.56%,,,,,,,
,Lavaca,0.00%,1.63%,0.65%,1.35%,1.24%,2.81%,1.74%,1.58%,2.14%,3.21%,6.67%,,,,,,,
,Lee,0.78%,1.15%,1.23%,0.94%,2.14%,1.32%,0.82%,2.12%,3.77%,1.62%,3.57%,,,,,,,
,Leon,0.00%,0.41%,0.44%,2.55%,1.65%,0.00%,1.43%,1.73%,0.43%,5.49%,5.24%,,,,,,,
,Liberty,0.46%,0.85%,0.81%,0.87%,1.75%,1.18%,1.41%,1.05%,1.37%,2.33%,3.03%,,,,,,,
,Limestone,0.00%,0.00%,0.68%,0.00%,1.04%,0.37%,1.40%,0.82%,1.04%,2.11%,3.31%,,,,,,,
,Lipscomb,0.00%,0.00%,1.54%,0.00%,2.13%,3.51%,0.00%,4.76%,0.00%,5.00%,6.82%,,,,,,,
,Live Oak,0.00%,1.32%,0.77%,0.79%,1.49%,0.81%,0.00%,0.92%,4.29%,0.74%,1.57%,,,,,,,
,Llano,1.94%,2.86%,3.03%,1.79%,1.69%,1.74%,3.76%,2.86%,3.05%,2.13%,8.40%,,,,,,,
,Loving,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,,,,,,,
,Lubbock,1.14%,1.30%,1.36%,1.56%,1.80%,1.77%,2.04%,2.04%,2.92%,3.44%,3.47%,,,,,,,
,Lynn,0.87%,1.74%,1.87%,1.80%,4.17%,4.40%,1.61%,1.96%,3.79%,6.25%,8.82%,,,,,,,
,McCulloch,0.00%,0.46%,0.51%,0.53%,0.56%,0.53%,0.00%,2.48%,2.63%,2.01%,0.51%,,,,,,,
,McLennan,1.05%,0.00%,0.00%,1.20%,0.00%,2.13%,0.00%,2.56%,1.56%,2.53%,1.59%,,,,,,,
,McMullen,2.83%,11.76%,1.92%,1.09%,3.88%,4.08%,3.42%,1.02%,4.35%,4.35%,3.41%,,,,,,,
,Madison,1.64%,0.00%,2.86%,6.00%,6.35%,2.04%,3.17%,1.92%,7.55%,4.00%,7.27%,,,,,,,
,Marion,0.51%,0.18%,1.45%,1.11%,1.33%,1.18%,1.79%,2.12%,2.43%,1.97%,2.49%,,,,,,,
,Martin,0.27%,0.09%,0.20%,0.20%,0.19%,0.28%,0.19%,0.39%,0.39%,0.00%,0.62%,,,,,,,
,Mason,0.82%,2.73%,1.71%,2.00%,2.91%,2.97%,1.19%,3.53%,4.82%,4.26%,6.02%,,,,,,,
,Matagorda,0.42%,0.57%,0.48%,1.00%,1.03%,2.03%,2.36%,2.01%,3.24%,3.76%,3.45%,,,,,,,
,Maverick,0.00%,5.56%,0.00%,5.26%,0.00%,0.00%,#N/A,8.33%,4.76%,5.88%,4.55%,,,,,,,
,Medina,1.05%,1.66%,0.74%,0.83%,1.24%,0.81%,1.42%,0.89%,2.21%,2.37%,1.60%,,,,,,,
,Menard,0.00%,0.00%,4.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.76%,,,,,,,
,Midland,2.06%,0.85%,0.93%,1.15%,1.08%,1.61%,1.95%,2.06%,2.01%,2.73%,3.78%,,,,,,,
,Milam,1.37%,1.95%,1.20%,0.92%,1.01%,1.69%,1.25%,1.28%,3.58%,1.81%,4.36%,,,,,,,
,Mills,3.45%,1.82%,1.85%,1.89%,0.00%,0.00%,2.00%,0.00%,1.64%,7.27%,6.25%,,,,,,,
,Mitchell,0.92%,0.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.00%,2.83%,3.30%,,,,,,,
,Montague,1.16%,0.00%,2.92%,4.07%,4.52%,7.39%,7.02%,6.90%,6.41%,9.63%,12.56%,,,,,,,
,Montgomery,0.96%,2.51%,2.23%,2.67%,3.21%,2.97%,4.01%,3.14%,4.30%,4.87%,5.55%,,,,,,,
,Moore,0.98%,0.24%,0.77%,0.00%,0.29%,0.27%,1.26%,0.79%,0.99%,2.36%,1.57%,,,,,,,
,Morris,0.00%,0.00%,1.40%,0.00%,0.72%,2.80%,1.45%,0.00%,1.42%,1.60%,2.31%,,,,,,,
,Motley,0.00%,NR**,0.00%,10.00%,0.00%,11.11%,0.00%,11.11%,0.00%,0.00%,13.33%,,,,,,,
,Nacogdoches,1.16%,0.12%,0.89%,1.64%,1.21%,1.92%,1.17%,1.40%,2.59%,3.23%,2.89%,,,,,,,
,Navarro,0.44%,0.28%,0.28%,0.30%,0.61%,1.48%,0.90%,1.12%,1.93%,3.94%,3.43%,,,,,,,
,Newton,0.00%,3.08%,0.78%,1.31%,2.96%,0.72%,5.65%,4.65%,5.31%,7.37%,9.09%,,,,,,,
,Nolan,0.74%,0.00%,1.52%,0.96%,0.94%,2.25%,0.82%,1.07%,1.56%,1.64%,0.68%,,,,,,,
,Nueces,0.88%,0.83%,0.76%,0.95%,1.04%,1.39%,1.30%,1.33%,1.42%,2.15%,2.18%,,,,,,,
,Ochiltree,0.51%,0.00%,0.00%,0.65%,0.00%,2.72%,0.00%,2.58%,5.16%,5.69%,2.70%,,,,,,,
,Oldham,7.14%,5.88%,3.13%,2.27%,4.88%,2.27%,1.79%,7.14%,2.94%,2.33%,14.00%,,,,,,,
,Orange,0.74%,1.68%,1.49%,2.29%,2.62%,3.95%,3.98%,4.96%,6.72%,6.13%,8.20%,,,,,,,
,Palo Pinto,1.58%,0.60%,0.85%,2.03%,2.40%,2.57%,4.08%,3.58%,4.31%,3.32%,6.02%,,,,,,,
,Panola,1.07%,0.39%,0.36%,1.80%,2.64%,1.46%,1.53%,2.09%,2.59%,5.65%,5.91%,,,,,,,
,Parker,1.83%,3.14%,2.23%,2.86%,3.30%,4.93%,4.91%,3.87%,6.31%,7.34%,8.13%,,,,,,,
,Parmer,1.89%,0.50%,1.07%,1.09%,0.70%,1.13%,3.53%,0.66%,0.51%,2.91%,3.55%,,,,,,,
,Pecos,0.80%,0.69%,0.41%,0.40%,0.50%,0.45%,1.26%,0.54%,2.20%,0.59%,8.87%,,,,,,,
,Polk,0.20%,1.50%,1.55%,1.71%,1.73%,1.80%,0.80%,0.60%,1.44%,1.13%,1.86%,,,,,,,
,Potter,1.26%,1.20%,1.17%,1.53%,1.51%,1.64%,1.84%,1.60%,2.16%,3.12%,3.33%,,,,,,,
,Presidio,0.00%,0.00%,0.00%,0.86%,1.03%,1.14%,2.04%,0.00%,0.00%,0.00%,1.85%,,,,,,,
,Rains,1.68%,1.87%,1.61%,4.76%,NR**,3.85%,8.33%,1.42%,8.41%,4.72%,8.65%,,,,,,,
,Randall,3.40%,3.31%,1.61%,2.39%,2.23%,2.84%,3.44%,2.60%,3.30%,4.47%,6.05%,,,,,,,
,Reagan,1.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.45%,0.00%,,,,,,,
,Real,0.00%,0.00%,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NR**,,,,,,,
,Red River,0.53%,0.63%,1.42%,0.67%,1.38%,2.82%,2.04%,1.90%,0.65%,2.76%,6.50%,,,,,,,
,Reeves,0.00%,0.45%,1.06%,1.51%,0.50%,0.00%,1.21%,1.38%,2.08%,1.04%,2.54%,,,,,,,
,Refugio,0.00%,1.04%,0.00%,3.96%,1.05%,4.94%,3.80%,1.96%,3.30%,6.90%,3.66%,,,,,,,
,Roberts,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Robertson,0.39%,0.50%,0.40%,1.33%,0.89%,1.28%,2.89%,0.94%,0.00%,2.36%,1.45%,,,,,,,
,Rockwall,1.87%,2.66%,1.83%,3.21%,3.33%,4.36%,5.07%,4.44%,6.02%,6.66%,8.22%,,,,,,,
,Runnels,0.00%,1.48%,2.90%,0.71%,0.77%,0.79%,0.00%,0.77%,1.21%,2.90%,6.15%,,,,,,,
,Rusk,0.00%,0.40%,0.23%,0.42%,0.66%,1.35%,2.67%,2.82%,3.80%,3.07%,4.79%,,,,,,,
,Sabine,0.00%,0.69%,0.70%,2.24%,2.48%,4.27%,2.76%,0.00%,4.51%,6.72%,5.97%,,,,,,,
,San Augustine,3.45%,1.08%,1.19%,1.33%,2.33%,1.43%,6.25%,1.41%,4.05%,1.37%,7.27%,,,,,,,
,San Jacinto,0.40%,0.78%,0.88%,0.40%,0.87%,3.77%,3.38%,2.64%,5.09%,2.05%,4.15%,,,,,,,
,San Patricio,0.45%,0.85%,0.89%,0.72%,1.67%,0.81%,0.81%,1.18%,2.25%,2.23%,2.04%,,,,,,,
,San Saba,0.00%,0.00%,3.57%,3.03%,3.80%,5.33%,2.74%,4.05%,1.67%,0.00%,2.53%,,,,,,,
,Schleicher,0.00%,0.00%,0.00%,0.00%,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Scurry,0.00%,0.00%,0.00%,0.51%,0.40%,0.89%,0.87%,2.50%,0.84%,2.22%,1.66%,,,,,,,
,Shackelford,2.00%,3.92%,3.77%,4.35%,4.26%,6.12%,4.88%,10.26%,2.44%,2.22%,16.67%,,,,,,,
,Shelby,0.49%,0.00%,0.00%,0.55%,0.59%,1.40%,0.89%,3.06%,1.63%,4.53%,5.38%,,,,,,,
,Sherman,0.00%,0.00%,0.00%,0.00%,3.13%,0.00%,0.00%,2.33%,15.38%,4.29%,1.89%,,,,,,,
,Smith,0.98%,1.38%,1.64%,1.34%,2.68%,2.39%,2.98%,3.16%,4.14%,5.72%,6.57%,,,,,,,
,Somervell,1.57%,3.23%,3.88%,0.00%,3.85%,5.23%,7.14%,4.07%,7.64%,4.72%,6.21%,,,,,,,
,Starr,0.00%,0.00%,0.00%,0.08%,0.09%,0.10%,0.00%,0.38%,0.34%,0.29%,0.31%,,,,,,,
,Stephens,0.00%,0.86%,0.96%,0.00%,2.80%,2.86%,4.55%,7.34%,6.30%,5.32%,13.27%,,,,,,,
,Sterling,0.00%,2.56%,0.00%,0.00%,0.00%,0.00%,4.00%,4.76%,7.41%,11.11%,11.76%,,,,,,,
,Stonewall,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,#N/A,0.00%,0.00%,0.00%,NR**,,,,,,,
,Sutton,0.00%,0.00%,0.00%,1.96%,4.44%,3.64%,3.70%,3.85%,4.00%,2.00%,2.13%,,,,,,,
,Swisher,0.00%,0.00%,0.00%,1.80%,4.67%,0.88%,0.93%,1.08%,0.99%,4.11%,4.40%,,,,,,,
,Tarrant,1.54%,1.64%,1.85%,2.24%,2.51%,3.08%,3.05%,2.89%,3.41%,4.41%,4.35%,,,,,,,
,Taylor,0.76%,1.31%,0.94%,1.01%,2.12%,1.88%,1.79%,2.32%,2.69%,2.58%,3.17%,,,,,,,
,Terrell,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Terry,0.00%,0.00%,0.00%,1.23%,0.62%,4.94%,4.05%,2.58%,3.18%,4.08%,3.73%,,,,,,,
,Throckmorton,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.53%,4.55%,14.29%,27.27%,,,,,,,
,Titus,0.68%,0.00%,0.59%,0.21%,0.40%,0.75%,0.00%,0.29%,2.86%,1.56%,4.74%,,,,,,,
,Tom Green,0.42%,0.71%,1.00%,1.40%,1.26%,1.71%,1.57%,1.56%,2.20%,1.71%,2.51%,,,,,,,
,Travis,3.22%,3.18%,3.12%,3.17%,3.62%,3.54%,3.13%,2.31%,2.44%,3.45%,3.00%,,,,,,,
,Trinity,1.17%,0.00%,0.00%,1.14%,2.96%,1.55%,1.26%,4.23%,3.90%,5.00%,4.14%,,,,,,,
,Tyler,1.66%,0.78%,1.48%,3.10%,3.19%,2.11%,2.43%,1.70%,3.66%,4.95%,8.45%,,,,,,,
,Upshur,1.66%,1.62%,2.85%,2.58%,1.88%,3.74%,2.97%,4.44%,4.03%,4.70%,6.70%,,,,,,,
,Upton,0.00%,1.30%,0.00%,1.85%,0.00%,4.69%,0.00%,0.00%,1.79%,0.00%,5.26%,,,,,,,
,Uvalde,0.21%,0.91%,0.99%,1.14%,1.06%,0.51%,1.30%,1.27%,2.25%,1.34%,2.82%,,,,,,,
,Val Verde,0.11%,0.12%,0.13%,0.00%,0.43%,0.40%,0.42%,0.14%,0.65%,1.18%,0.49%,,,,,,,
,Van Zandt,1.74%,2.55%,2.53%,3.16%,2.34%,2.77%,5.71%,3.67%,5.75%,5.68%,6.79%,,,,,,,
,Victoria,0.34%,3.16%,0.46%,0.66%,0.83%,0.69%,1.72%,1.68%,1.41%,1.52%,1.90%,,,,,,,
,Walker,1.74%,2.35%,0.87%,1.29%,1.50%,2.48%,2.60%,4.16%,3.63%,5.59%,6.01%,,,,,,,
,Waller,0.62%,0.75%,1.02%,0.83%,1.34%,1.55%,1.34%,1.15%,1.84%,2.92%,3.60%,,,,,,,
,Ward,0.50%,0.00%,0.00%,1.71%,1.70%,0.92%,1.92%,0.65%,3.11%,4.52%,4.15%,,,,,,,
,Washington,1.62%,1.02%,0.84%,1.33%,1.00%,3.07%,2.10%,1.00%,2.46%,4.61%,3.24%,,,,,,,
,Webb,0.15%,0.08%,0.25%,0.28%,0.16%,0.19%,0.39%,0.35%,0.36%,0.49%,0.64%,,,,,,,
,Wharton,0.00%,0.50%,0.26%,0.35%,0.73%,1.05%,0.18%,1.11%,0.90%,1.77%,1.80%,,,,,,,
,Wheeler,1.10%,3.39%,3.23%,3.70%,3.49%,1.28%,8.33%,4.48%,0.00%,1.47%,3.70%,,,,,,,
,Wichita,1.29%,0.99%,1.08%,0.86%,1.55%,1.23%,1.47%,1.24%,2.57%,2.20%,2.63%,,,,,,,
,Wilbarger,0.00%,0.56%,0.66%,0.68%,0.00%,1.31%,1.39%,0.60%,0.63%,1.96%,0.75%,,,,,,,
,Willacy,0.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%,0.00%,0.76%,0.40%,,,,,,,
,Williamson,3.97%,3.75%,3.90%,3.91%,3.89%,4.75%,4.32%,3.74%,4.61%,4.79%,4.50%,,,,,,,
,Wilson,0.52%,1.16%,1.53%,1.25%,1.23%,3.22%,1.78%,2.19%,1.90%,2.00%,2.83%,,,,,,,
,Winkler,0.60%,0.00%,0.00%,2.17%,0.70%,1.32%,1.50%,0.78%,0.93%,1.49%,0.81%,,,,,,,
,Wise,1.62%,1.90%,1.52%,2.65%,2.87%,3.76%,4.94%,4.01%,6.29%,6.27%,10.33%,,,,,,,
,Wood,0.87%,1.29%,1.87%,0.96%,1.81%,2.89%,2.92%,3.46%,4.15%,5.66%,4.96%,,,,,,,
,Yoakum,0.53%,1.20%,0.64%,2.13%,0.00%,1.18%,2.82%,0.81%,4.42%,3.54%,5.83%,,,,,,,
,Young,1.87%,2.80%,1.34%,1.89%,2.46%,1.98%,2.34%,2.75%,2.31%,3.52%,1.53%,,,,,,,
,Zapata,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.75%,0.42%,0.00%,0.98%,0.45%,,,,,,,
,Zavala,0.00%,0.00%,0.00%,0.63%,0.00%,0.00%,0.58%,0.00%,0.00%,0.00%,0.00%,,,,,,,
